Genus_&_Specie,Time,Location,Zone,Current_Country,Habitat,Cranial_Capacity,Height,Incisor_Size,Jaw_Shape,Torus_Supraorbital,Prognathism,Foramen_Mágnum_Position,Canine Size,Canines_Shape,Tooth_Enamel,Tecno,Tecno_type,biped,Arms,Foots,Diet,Sexual_Dimorphism,Hip,Vertical_Front,Anatomy,Migrated,Skeleton
Homo Rudolfensis,2.44722342,Africa,oriental,Kenya,savannah,753.94022,127.30092,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Homo Floresiensis,0.35075631,Asia ,oriental,Indonesia,peninsular,226.8242,108.59894,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Habilis,2.31018359,Africa,oriental,Ethiopia,savannah,627.80908,138.32362,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Homo Erectus,1.25448439,Asia ,west,Indonesia,savannah,1052.24413,151.54885,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Naledi,0.78928167,Africa,south,South Africa,jungle,202.56489,137.79946,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Paranthropus Boisei,2.53221178,Africa,oriental,Ethiopia,forest,485.63898,100.17198,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Sapiens,0.53550592,Africa,oriental,Kenya,savannah,1277.22495,171.61215,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Antecesor,0.7275987,Europa,west,Spain,savannah,1151.66419,178.60686,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Australopithecus Anamensis,4.13171729,Africa,oriental,Kenya,forest-gallery,327.49109,122.52785,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
hominino Ardipithecus ramidus / kabadda,4.00923049,Africa,oriental,Ethiopia,mixed,402.25773,116.1818,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Homo Naledi,0.71692106,Africa,south,South Africa,jungle,398.05747,125.61793,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Rudolfensis,3.02899721,Africa,oriental,Kenya,savannah,727.41031,120.75818,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Australopithecus Africanus,4.16040834,Africa,south,South Africa,forest-gallery,667.44704,103.40172,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
hominino Orrorin tugenencin,6.21860422,Africa,oriental,Kenya,forest,225.24214,110.9218,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Floresiensis,0.36009669,Asia ,oriental,Indonesia,peninsular,339.28275,109.97157,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Habilis,2.49978931,Africa,oriental,Ethiopia,savannah,715.10996,133.5628,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Homo Rudolfensis,2.88760109,Africa,oriental,Kenya,savannah,636.96928,123.80417,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Homo Ergaster,1.88408062,Africa,oriental,Kenya,savannah,969.53084,158.82369,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Paranthropus Boisei,2.40676261,Africa,oriental,Ethiopia,forest,595.23216,114.5272,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Sediba,2.16955659,Africa,south,South Africa,mixed,412.11905,109.44482,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Rodhesiensis,0.82896438,Africa,oriental,Ethiopia,savannah,1133.65308,146.79697,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Australopithecus Anamensis,4.69682026,Africa,oriental,Kenya,forest-gallery,224.71673,116.70572,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Antecesor,0.7702941,Europa,west,Spain,savannah,981.00997,167.47311,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Homo Georgicus,2.00994007,Asia ,west,Georgia,savannah,719.64089,144.76889,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Sediba,2.19075377,Africa,south,South Africa,mixed,419.91487,107.47275,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
hominino Ardipithecus ramidus / kabadda,4.14569051,Africa,oriental,Ethiopia,mixed,244.41923,101.32551,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
hominino Orrorin tugenencin,6.68513749,Africa,oriental,Kenya,forest,121.82944,125.51881,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Sapiens,0.29694628,Africa,oriental,Kenya,savannah,1164.59645,171.55146,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Floresiensis,0.22386886,Asia ,oriental,Indonesia,peninsular,336.36985,103.53425,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Erectus,1.77552718,Asia ,west,Indonesia,savannah,1099.93369,166.57311,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Rudolfensis,2.9662517,Africa,oriental,Kenya,savannah,672.22726,129.30185,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Australopithecus Anamensis,4.56474807,Africa,oriental,Kenya,forest-gallery,262.81118,115.85308,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Australopithecus Bahrelghazali,3.63628745,Africa,central,Republic of Chad,mixed,309.00807,112.00421,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Homo Floresiensis,0.51441932,Asia ,oriental,Indonesia,peninsular,319.98693,96.84169,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Garhi,2.94202259,Africa,oriental,Ethiopia,mixed,404.37948,120.57918,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Homo Antecesor,1.47001405,Europa,west,Spain,savannah,1013.84273,164.5075,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
hominino Orrorin tugenencin,6.52392279,Africa,oriental,Kenya,forest,165.01383,118.30695,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Naledi,0.38994916,Africa,south,South Africa,jungle,347.59235,134.28367,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Garhi,2.63358424,Africa,oriental,Ethiopia,mixed,247.9773,122.38902,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Paranthropus Boisei,2.2861948,Africa,oriental,Ethiopia,forest,556.04934,112.23029,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
"Homo Neanderthalensis
",0.40925652,Europa,central,Germany,cold forest,1195.90368,165.36565,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
"Homo Neanderthalensis
",0.03594761,Europa,central,Germany,cold forest,1199.99517,154.28463,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Paranthropus Aethiopicus,2.93605766,Africa,oriental,Kenya,forest-savanna,473.91542,117.34743,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
hominino Sahelanthropus tchadensis,7.49866915,Africa,central,Republic of Chad,mixed,213.96245,82.60807,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Australopithecus Garhi,2.49397383,Africa,oriental,Ethiopia,mixed,231.05873,120.42082,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Homo Naledi,0.38490852,Africa,south,South Africa,jungle,485.5928,136.4929,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Bahrelghazali,3.59957465,Africa,central,Republic of Chad,mixed,407.92343,110.30473,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Homo Ergaster,1.48145253,Africa,oriental,Kenya,savannah,874.62232,168.96709,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Floresiensis,0.61457653,Asia ,oriental,Indonesia,peninsular,192.68727,90.18057,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Georgicus,2.36122546,Asia ,west,Georgia,savannah,682.04924,149.0488,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Paranthropus Robustus,1.67079903,Africa,south,South Africa,jungle,477.48063,121.7125,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Rodhesiensis,0.9015738,Africa,oriental,Ethiopia,savannah,1082.13476,157.60392,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Australopithecus Afarensis,3.71531159,Africa,oriental,Kenya,mixed,212.10196,137.96536,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Australopithecus Garhi,3.11629369,Africa,oriental,Ethiopia,mixed,252.46508,114.56538,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Australopithecus Sediba,1.9157334,Africa,south,South Africa,mixed,359.61501,106.35198,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Australopithecus Anamensis,4.59437393,Africa,oriental,Kenya,forest-gallery,468.24516,125.58886,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Naledi,0.78380891,Africa,south,South Africa,jungle,266.27057,127.89268,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Naledi,0.44761853,Africa,south,South Africa,jungle,475.39468,120.57658,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Erectus,1.95200739,Asia ,west,Indonesia,savannah,1025.9654,162.13414,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Rodhesiensis,0.53696936,Africa,oriental,Ethiopia,savannah,1089.68668,150.98235,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Australopithecus Anamensis,4.78463865,Africa,oriental,Kenya,forest-gallery,290.66245,128.74588,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Antecesor,0.8437986,Europa,west,Spain,savannah,1047.19228,173.90226,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Homo Rudolfensis,2.37585998,Africa,oriental,Kenya,savannah,824.1574,139.78335,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
"Homo Neanderthalensis
",0.44950786,Europa,central,Germany,cold forest,1221.79545,155.04967,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Sediba,2.01305806,Africa,south,South Africa,mixed,390.62308,106.27208,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
hominino Sahelanthropus tchadensis,7.43615698,Africa,central,Republic of Chad,mixed,171.58887,90.54258,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Australopithecus Afarensis,3.9243651,Africa,oriental,Kenya,mixed,443.83967,120.04176,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Homo Sapiens,0.680606,Africa,oriental,Kenya,savannah,1259.36579,166.4868,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Antecesor,1.17907163,Europa,west,Spain,savannah,1058.14486,164.39868,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
hominino Orrorin tugenencin,6.55875481,Africa,oriental,Kenya,forest,154.16916,127.16842,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Paranthropus Robustus,1.61432031,Africa,south,South Africa,jungle,526.7883,113.2738,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
"Homo Neanderthalensis
",0.77240811,Europa,central,Germany,cold forest,1246.8392,168.15274,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
hominino Ardipithecus ramidus / kabadda,3.8028592,Africa,oriental,Ethiopia,mixed,396.65257,116.67225,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Homo Georgicus,1.95455723,Asia ,west,Georgia,savannah,845.82035,156.8969,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Paranthropus Aethiopicus,2.42404392,Africa,oriental,Kenya,forest-savanna,356.71246,101.21263,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Africanus,3.39178801,Africa,south,South Africa,forest-gallery,627.00608,105.16993,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Australopithecus Anamensis,4.552475,Africa,oriental,Kenya,forest-gallery,316.12614,122.55052,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Paranthropus Aethiopicus,2.92055359,Africa,oriental,Kenya,forest-savanna,489.67915,117.50151,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Rodhesiensis,0.40866252,Africa,oriental,Ethiopia,savannah,1069.74372,150.039,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Australopithecus Afarensis,4.21622082,Africa,oriental,Kenya,mixed,445.70501,130.22537,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
hominino Sahelanthropus tchadensis,6.85143802,Africa,central,Republic of Chad,mixed,78.91146,88.83052,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Paranthropus Robustus,2.1116275,Africa,south,South Africa,jungle,566.30512,110.71351,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Heidelbergensis,0.43877675,Europa,central,Germany,cold forest,1303.38306,181.15611,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Paranthropus Robustus,2.25200624,Africa,south,South Africa,jungle,441.84187,117.70908,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Anamensis,4.30238502,Africa,oriental,Kenya,forest-gallery,471.04585,117.23633,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Rudolfensis,2.63311486,Africa,oriental,Kenya,savannah,738.96174,131.76088,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Australopithecus Garhi,3.08452754,Africa,oriental,Ethiopia,mixed,285.26987,122.83987,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Homo Naledi,0.93684017,Africa,south,South Africa,jungle,497.25485,128.90382,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Garhi,2.52928605,Africa,oriental,Ethiopia,mixed,368.80942,111.63375,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Homo Habilis,3.14823968,Africa,oriental,Ethiopia,savannah,811.43987,121.79796,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
hominino Orrorin tugenencin,5.9256621,Africa,oriental,Kenya,forest,64.75085,129.73059,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Australopithecus Garhi,3.06501009,Africa,oriental,Ethiopia,mixed,261.51494,128.53202,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Australopithecus Afarensis,3.95176487,Africa,oriental,Kenya,mixed,321.15323,136.58327,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Homo Naledi,0.95581162,Africa,south,South Africa,jungle,471.58343,139.57929,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Rodhesiensis,1.28030441,Africa,oriental,Ethiopia,savannah,1024.62631,147.94612,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Paranthropus Boisei,2.03677138,Africa,oriental,Ethiopia,forest,558.59318,108.77095,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
hominino Orrorin tugenencin,6.31530893,Africa,oriental,Kenya,forest,64.63307,128.40126,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
"Homo Neanderthalensis
",0.08344401,Europa,central,Germany,cold forest,1113.42129,156.45563,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Rodhesiensis,1.05950615,Africa,oriental,Ethiopia,savannah,1049.47123,148.49435,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Homo Rudolfensis,2.20349705,Africa,oriental,Kenya,savannah,582.17227,131.7168,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Homo Erectus,1.74050433,Asia ,west,Indonesia,savannah,1115.01068,156.53458,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
